"Timestamp","1. About how much time do you spend daily on short-form content (like reels, shorts, quick scrolling)?","Enter your average daily screen time (in hours)
To check your screen time:
Android: Go to Settings → Digital Wellbeing & Parental Controls → Dashboard
iPhone: Go to Settings → Screen Time → See All Activity","What is your primary form of content consumed?","Do you engage with any digital content within 30 minutes before sleep?","How often do you switch between apps/tasks while using your device?","How often do you take intentional breaks during screen usage?","What is your average sleep duration?","Rate your ability to maintain focus on a single task (1–10)","How often do you feel mentally fatigued during the day?","How easily do you get distracted while working/studying?","After periods of high screen usage, how does your concentration change?"
"2026/03/29 6:31:05 PM GMT+5:30","2-4 hours","6 hrs","Fast-paced (short videos, reels, quick scroll content)","Yes","Frequently","Sometimes","6-7 hours","7","Almost always","Easy","No change"
"2026/03/29 6:32:30 PM GMT+5:30","2-4 hours","8 hrs ","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","6-7 hours","7","Sometimes","Difficult","Slightly decreases"
"2026/03/29 6:36:19 PM GMT+5:30","4-6 hours","8 hours","A mix of both fast-paced and long-form content","Yes","Frequently","Rarely","7-8 hours","7","Sometimes","Difficult","Significantly decreases"
"2026/03/29 6:36:22 PM GMT+5:30","2-4 hours","7","A mix of both fast-paced and long-form content","Yes","Frequently","Sometimes","5-6 hours","5","Sometimes","Easy","Significantly decreases"
"2026/03/29 6:40:24 PM GMT+5:30","2-4 hours","6hrs","A mix of both fast-paced and long-form content","Yes","Frequently","Never","8+ hours","7","Never","Easy","No change"
"2026/03/29 6:51:16 PM GMT+5:30","1-2 hours","3hr","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","8+ hours","6","Sometimes","Easy","Significantly decreases"
"2026/03/29 6:51:19 PM GMT+5:30","1-2 hours","7 hours 44 mins","A mix of both fast-paced and long-form content","Yes","Rarely","Rarely","5-6 hours","4","Frequently","Very Easy","No change"
"2026/03/29 7:01:44 PM GMT+5:30","6+ hours","10","Fast-paced (short videos, reels, quick scroll content)","Yes","Sometimes","Rarely","7-8 hours","7","Sometimes","Very Easy","Significantly decreases"
"2026/03/29 7:07:53 PM GMT+5:30","0–1 hours","5","A mix of both fast-paced and long-form content","No","Sometimes","Rarely","6-7 hours","8","Sometimes","Difficult","No change"
"2026/03/29 7:27:43 PM GMT+5:30","2-4 hours","4h","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","7-8 hours","7","Almost always","Difficult","No change"
"2026/03/29 7:42:13 PM GMT+5:30","1-2 hours","4","Fast-paced (short videos, reels, quick scroll content)","Yes","Frequently","Rarely","8+ hours","7","Sometimes","Difficult","Slightly decreases"
"2026/03/29 7:53:36 PM GMT+5:30","2-4 hours","6H 20min","Fast-paced (short videos, reels, quick scroll content)","Yes","Sometimes","Frequently","7-8 hours","7","Sometimes","Easy","Slightly decreases"
"2026/03/29 8:49:02 PM GMT+5:30","1-2 hours","6hr","Fast-paced (short videos, reels, quick scroll content)","Yes","Sometimes","Sometimes","5-6 hours","8","Sometimes","Difficult","Improves"
"2026/03/29 9:16:33 PM GMT+5:30","1-2 hours","4hrs 31min","A mix of both fast-paced and long-form content","Yes","Frequently","Sometimes","8+ hours","8","Sometimes","Difficult","Significantly decreases"
"2026/03/29 9:45:03 PM GMT+5:30","0–1 hours","1 hour","Fast-paced (short videos, reels, quick scroll content)","No","Never","Frequently","6-7 hours","8","Never","Difficult","Slightly decreases"
"2026/03/29 10:04:16 PM GMT+5:30","2-4 hours","4","Long-form (articles, lectures, deep content)","Yes","Sometimes","Sometimes","5-6 hours","8","Sometimes","Easy","Slightly decreases"
"2026/03/29 10:04:24 PM GMT+5:30","1-2 hours","3hours","A mix of both fast-paced and long-form content","Yes","Rarely","Frequently","6-7 hours","7","Never","Difficult","Slightly decreases"
"2026/03/30 9:24:06 AM GMT+5:30","0–1 hours","10 hrs","A mix of both fast-paced and long-form content","Yes","Sometimes","Never","Less than 5 hours","6","Frequently","Easy","Slightly decreases"
"2026/03/30 10:21:16 AM GMT+5:30","6+ hours","11","A mix of both fast-paced and long-form content","Yes","Frequently","Frequently","6-7 hours","8","Never","Difficult","No change"
"2026/03/30 10:40:44 AM GMT+5:30","2-4 hours","8 hours ","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","5-6 hours","8","Sometimes","Difficult","No change"
"2026/03/30 10:42:57 AM GMT+5:30","1-2 hours","2 hrs 50 min","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","5-6 hours","9","Sometimes","Difficult","Slightly decreases"
"2026/03/30 11:01:51 AM GMT+5:30","6+ hours","6hr","Fast-paced (short videos, reels, quick scroll content)","Yes","Frequently","Rarely","7-8 hours","4","Frequently","Easy","Significantly decreases"
"2026/03/30 11:36:43 AM GMT+5:30","0–1 hours","1 hr 50 min","A mix of both fast-paced and long-form content","No","Sometimes","Sometimes","5-6 hours","8","Sometimes","Difficult","Slightly decreases"
"2026/03/30 2:31:39 PM GMT+5:30","1-2 hours","3-4Hrs","A mix of both fast-paced and long-form content","Yes","Rarely","Frequently","6-7 hours","8","Sometimes","Difficult","Slightly decreases"
"2026/03/30 2:52:29 PM GMT+5:30","2-4 hours","6hrs","Fast-paced (short videos, reels, quick scroll content)","Yes","Frequently","Sometimes","5-6 hours","6","Frequently","Easy","Significantly decreases"
"2026/03/30 3:04:20 PM GMT+5:30","2-4 hours","5","Fast-paced (short videos, reels, quick scroll content)","Yes","Sometimes","Sometimes","6-7 hours","6","Sometimes","Easy","Slightly decreases"
"2026/03/30 4:35:35 PM GMT+5:30","1-2 hours","7","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","5-6 hours","5","Sometimes","Easy","Slightly decreases"
"2026/03/30 7:04:21 PM GMT+5:30","2-4 hours","5 hours ","A mix of both fast-paced and long-form content","Yes","Frequently","Rarely","Less than 5 hours","9","Frequently","Difficult","Slightly decreases"
"2026/03/30 8:20:13 PM GMT+5:30","1-2 hours","6","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","6-7 hours","7","Sometimes","Easy","Slightly decreases"
"2026/03/31 11:05:25 PM GMT+5:30","0–1 hours","70 minutes","A mix of both fast-paced and long-form content","Yes","Rarely","Sometimes","6-7 hours","8","Sometimes","Difficult","Significantly decreases"